call,accuracy,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y
46,13.0,0.8976639985115213,0.10591239163722409,0.7381117410592889,0.16944216663554715,2.2140676082063906,0.19236670546766016,0.9033291105109292,4.984919572445945,0.1286827746884443,2.493701106479959,3.1781477732927477,0.48457901730427316,0.29890024653159347,0.6030119702211387,0.23298667188957992,2.172389004537735,0.1942584845756854,0.14418026938442735,3.4508638134818495,0.8635440061640633
47,12.0,0.27192470084586595,0.14000013039854992,4.001962255984358,0.14693368054953126,3.0394219259107937,0.24829312210864687,0.23255351722747353,3.785456788136395,0.5133627739253537,0.45812008882580135,1.2566434078876032,0.42252111740685244,0.8943436646188757,2.7587408024639744,2.1894549726742234,4.942070265743646,1.2860663838974555,0.47371255252941863,0.40845840294379815,0.2108322846567561
48,13.0,2.1135757664182515,0.32044638940472747,1.3025882483325484,1.341691865216986,2.7265254960604186,0.10628880179919536,0.3437786197178507,0.12904196740318666,0.13040231105587924,0.9944760363781413,0.15565614600860617,0.7612007793739396,0.37185831099726224,1.983714188547932,1.723665866949507,2.1925980776604685,0.10017478759928237,0.13063442997470404,1.8270912581883414,3.9362104415598282
49,13.0,0.22239402412962458,0.15188168319126022,0.14101030878534537,1.152567262304349,3.7842881884033357,2.416508665634955,0.7652732192519812,0.9043363273638725,3.520933167587354,0.5139116778674008,0.9215588635336179,0.35970239230479334,0.32939377602163156,0.42763486270292866,4.043411307676319,1.3372618282407998,1.0875881090693644,0.19421108881404733,0.6854318679642214,4.082928771227067
50,16.0,0.2179518655866816,2.4438325149642646,3.2985150723180165,1.0258622434095357,3.2448563624538367,0.5581230959592948,1.6516229115257215,1.1956864425452656,0.6909609703566368,4.722656721817497,2.974908663893933,0.3740669797841705,0.4385790772419699,0.16616808245860715,4.283124987433722,0.6369424650134554,1.768668306035839,0.33285271697025043,2.974659875600517,1.3268015729624842
51,11.0,0.354867298057098,0.5551354086563792,4.103843705634034,0.11141379205710174,0.8326220446849482,0.15052825572966894,0.19985305016052682,0.25137053568511986,2.991827958661106,1.1503125151158358,0.6303349654601825,0.137077111870717,0.22505562164383175,0.5101460778805168,0.41759224445940524,0.11725405434761019,1.4394052163276951,1.0395286393403975,0.6470749036833865,0.11379058364230085
52,12.0,0.9144786341930784,1.586095734355054,0.6399585200965516,0.6136771216977899,1.4649919142698482,0.11593356758952307,0.13881568477922776,0.4003141979366176,1.1178418372044308,1.1856202323336686,0.7977233331057638,0.28431200431375075,3.353865360538544,0.645745998731624,0.3610157491441396,1.5404892276549265,1.1642646133039354,0.4319427944649706,0.5828761710408465,0.20548810177079893
53,11.0,4.032164010265238,1.467116415137976,2.5818103409905757,0.2768446003343389,1.0550534827389395,0.20820964396022223,2.2864403891539697,0.888842618772876,0.7261099814853703,0.11370470266868078,0.14655603128539182,0.606708518088329,1.6396626585980105,1.7954875192910382,0.4230222008134281,2.156021383489825,0.12969712796413524,0.31154845609943704,0.1787159166016897,0.22263898534037813
54,11.0,1.2631049973257757,0.45939386946778504,0.25123408250528373,0.12198462320590148,0.5578422895611187,0.12943413697400807,0.16425147956208788,0.42893854281854443,0.44348146466046173,0.16147196641431685,1.2778810594929366,0.7248826082117655,3.520188163063622,0.11702084364171651,0.2836287175479018,0.4663764285095932,0.18509656699386418,0.11312115180805014,2.8298939129411687,2.7830521416006935
55,12.0,1.2407029465254462,3.648381923088697,1.6861924278166587,1.0966415098269422,1.397206496910154,0.5686473696984956,2.316493452609163,0.46219786582713984,2.6526716437752857,0.20710155605399405,4.7162177473757385,1.8732028603847972,0.9703664281559324,2.0108248969356946,0.1729217642507115,1.8158318751023947,2.6928413585494693,0.8404306535134174,3.073626974479812,1.7493566008610721
56,13.0,0.19468195428375684,3.2779416482707275,0.16044112452880527,0.3049117471620876,0.3597993441407354,0.7612525870421152,3.4676795588208695,1.739166032418654,0.19814965711150886,1.6314432061131081,0.14994396965112167,4.673336832438502,1.6149223580466627,3.6501451596081447,1.1157944191425129,3.786137991305619,1.287976463199675,0.5183203193818205,1.600624416950249,3.1629101905216555
57,14.0,0.17910052474352695,3.9185337077866844,2.6341587397510833,0.8118256631897757,1.9057213049104211,4.46436244998071,0.3253117796156066,4.10963727342128,2.7319309953232724,0.1600612002689959,0.558133934164757,1.9701449134525149,1.1189109534539103,1.7450635994535177,0.5150093160266466,0.5718963860483294,1.9466005272145515,0.1328977298176021,4.669625039386159,0.4480405149051553
58,8.0,0.10174047966176901,1.458041236548461,3.4672944643991306,0.3917636965514351,0.20783368071223005,1.7769922056841565,2.5596625321252926,0.2897500681351097,0.2726654076000746,0.629892068513696,3.501571084803328,0.18519390536368077,0.23694288714872144,0.5071372396614269,0.10744963670361038,4.420285571173343,2.88088098702774,1.5178555621590033,0.24087781969079072,0.7817720163839669
59,7.0,0.9580657833706296,1.7486519037506119,0.26159145565988184,0.1616787393672143,3.9427713878284933,1.6760283116653714,4.854232173602015,2.22171685908867,0.3735606078324709,2.1073757644103743,4.894852226966317,1.2423629537269187,0.10032047186543822,2.2788937376762726,3.501078215818859,0.23012866093364548,0.9901474714370898,0.3465207036073461,0.4142204894049438,0.16415915524553182
60,13.0,0.21672585748553558,0.16817143523503378,1.6478364146558653,1.9941104322199017,0.12968376920513672,0.5227171025163302,0.20679119673823973,0.14170665687036205,1.3118619071646023,2.747908468975875,0.10140084078566708,0.14843877049513415,0.6113884449973375,0.4819407284574912,2.3636952524433177,0.3020828295859627,2.292882287023507,0.8845682073425993,0.10716541956939743,0.2903968771283063
61,9.0,0.2206030216826232,4.818474389003591,0.10330981046436957,0.17086410643198582,0.21647815781865926,0.218904626267205,0.5299544951104819,1.7235101240848365,0.32404811157508556,0.44629259560304635,4.925451062949443,0.570291705817717,1.513956250275693,0.3527913291145103,2.169490853025121,2.698605776639229,0.9061953692799793,2.242897448738525,1.5223565300776483,2.916554241406056
62,11.0,0.3489245766265317,1.580529464107589,0.3401374259853585,3.2353156240600387,0.19841935659772753,0.19070281676440595,3.8872472219265704,4.983468491134916,0.45156250881216214,2.6827534026529225,0.7412156624533658,0.493720133697767,1.305613397191744,0.5730652950749244,2.553331725797544,0.720647996303931,0.10268349954947786,4.019367658871383,0.10862786519249025,0.18349879865440785
63,11.0,4.532086849192933,2.271215643034735,0.43108675304674954,0.22141022359106963,2.020834473941994,0.5769517181476423,2.379308825507074,2.9760868635919016,4.36547224270216,0.392078720678326,0.13515495700465122,3.0944939311197275,1.3948069236889802,1.27771966718141,1.8024922253700504,0.2579810008061761,1.3773222611074651,0.5793309673341486,0.10712906209024135,0.14610256270728186
64,11.0,1.4597597218330238,1.5809830034261758,0.18758296351416634,0.5140344623295797,0.15082346753225953,0.1381528942109681,0.22395017568198156,3.6180187481359956,1.1678434640089959,0.7748621355232965,1.569361867115036,0.5100576664012773,1.1962508704943773,0.27972544977694,0.11072431719079372,0.24621305751355846,0.24051590984160728,1.0274606086147098,0.16087827727951215,2.662706563018136
65,9.0,1.3449065705234935,1.128460579555643,0.6311947965908558,3.0972420156530704,3.4693317961367227,0.23766897860722827,2.379335916959283,0.49615716992973125,2.675270899448982,0.6098025735350019,0.12032657448970402,1.1712911182594752,0.4449484719492507,0.2045943072486534,0.1370138804259247,2.522578326977397,0.6624540898197665,0.7082951197928765,2.429369373058383,0.10462175918350897
66,14.0,1.8550801859185497,3.311626062190082,2.6434875491496332,2.876017210016668,3.214464488660111,0.40983132471347156,0.8958381247270538,2.042200432885391,0.12418706536274826,0.2218419000046981,1.1282534613050426,0.33818166201122984,1.2044041735542874,0.4455593295348033,1.3705243782107874,0.13192085905920126,0.677999223537835,1.8175229529536556,0.5990137725252773,3.719078734286631
67,10.0,0.4788812770253362,0.24967998350820916,0.13560938094526012,0.10674290975814181,1.6774053030497602,1.0045627033146831,0.8082999138916322,0.13209693969840852,0.24138699729461613,0.18508900743033396,0.20964104271361161,1.8418916319197642,3.5230465718160184,0.12124935441072238,2.6160024739996506,0.9323972694851748,1.73419334113823,3.9039245595610703,1.1438734357553488,2.974834114726744
68,13.0,0.1511419135371877,0.19601013837036516,4.9993695729561045,0.6117483757946431,0.17011955182765606,1.4839727406899814,0.17498841980103377,0.20931248178050085,0.4933120283176879,1.365894379005224,0.29063722341766196,0.2774952096842517,0.6460332730789837,3.027997525194757,2.779301010216298,0.8772629869993561,3.246733129089374,0.24764392818018188,0.1483354994687666,0.16700555337226522
