call,score,total_ll,mean_coverage,mean_smoothness,mean_efficiency,alpha,beta,gamma,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y,trans_match_self_loop,trans_forward,trans_to_skip,trans_to_slip,trans_to_insert,trans_to_end,trans_insert_self_loop,trans_insert_to_match,trans_skip_to_match,trans_skip_continue,trans_slip_to_match,trans_slip_continue
2344,205.78387788514044,-288.192244229719,0.8776,0.8718,0.9745215466227884,0.5,2.0,2.0,0.08976462373414527,0.4912638399078881,49.99999999999999,0.02763236587330435,6.012323769000139,0.15968972589298244,49.99999999999999,49.99999999999999,7.3501642640542935,49.99999999999999,49.99999999999999,31.39065915243276,6.907772070918907,0.44276285380328484,49.99999999999999,0.43419678314402976,0.290962200844842,49.99999999999999,49.99999999999999,49.99999999999999,0.011982816244735905,0.7796947741820935,0.018288647240584415,0.008663275268689931,0.1732655053737986,0.008104981690097672,0.3,0.7,0.9,0.1,0.92,0.08
2345,-368.7727979170096,-356.6049801971934,0.8192,0.80108,0.9516938858034025,1.2480864725125635,0.7178917098009823,0.2183472940383191,1.3539176644320796,28.00871544893089,8.75533602531404,0.038730655757653124,0.049802082871701146,0.036436961218970235,9.593719951178896,14.055843055240658,2.7507051366268183,0.01665505712438429,0.09381962138775386,1.8358366340464929,25.11627510103163,0.504853029296372,2.7169053569803667,0.022180698780325848,23.671028526619594,13.94102267164517,0.6839271242136459,5.799067917811583,0.01886934662710521,0.7464674250280212,0.1003822255488895,0.03952076008117025,0.09153100432434583,0.0032292383904679637,0.3,0.7,0.9,0.1,0.92,0.08
2346,268.6308805500814,-172.6742388998371,0.898,0.8768400000000003,0.958542206592782,0.5,2.0,2.0,9.793000371690713,49.99999999999999,0.11004586170552813,49.99999999999999,0.5336656572807054,49.83901651501796,3.873313687997121,0.788120200016125,1.327825621345787,49.99999999999999,0.43352377913270085,49.99999999999999,7.7038288607895895,4.86329055916784,49.99999999999999,0.8777504222454687,24.649683614802825,49.99999999999999,0.4881150193355202,0.348110614386241,0.0900985041608266,0.8108865374474392,0.009009850416082661,0.009009850416082661,0.07525440438959205,0.005740853169976746,0.3,0.7,0.9,0.1,0.92,0.08
2347,225.60162232373605,-248.86075535252806,0.8868,0.86336,0.9321267242845248,0.5,2.0,2.0,49.999999999702254,2.62579913855955,49.99999999999999,0.11529192602455983,49.99999999999999,49.99999999999999,49.99999999999999,0.1634454783199119,34.66365536766838,49.99999999999999,6.663701697349057,49.99999999999999,15.531119216333643,1.034733668628491,49.99999999999999,0.048535481364757396,49.99999999999999,49.99999999999999,1.9753719700047567,0.039578728188320644,0.08059691809635665,0.7253722628672097,0.008059691809635667,0.16119383610674923,0.008059691809635667,0.016717599310413143,0.3,0.7,0.9,0.1,0.92,0.08
2348,-314.344078336488,-662.9705372335245,0.7452000000000001,0.7242399999999999,0.8960006035927998,0.5503220978475291,0.11151649062460496,0.5825838070753205,0.01694354192835558,7.011758430702941,10.107789080946278,0.04254597163604242,46.94212301543161,8.90692717239731,0.1348334819870165,0.046486928370400464,2.6162889912764613,5.695171956136887,0.5533826898128216,0.11860159468880073,0.1845234966127792,0.12924642174622067,0.054682522723793474,0.01682261649094775,8.459643854008162,23.89658910165769,4.814203053640198,0.04154395023481491,0.0017055457773630673,0.7081654474745293,0.11442125798837988,0.02411936879526183,0.013010691386835195,0.13857768857763084,0.3,0.7,0.9,0.1,0.92,0.08
2349,-204.85727240557839,-325.847723154521,0.8104,0.7684399999999999,0.9405120790484398,0.8673573649448797,0.6789750368493046,0.2959894479301964,1.26480034281983,0.05162954850491025,6.66089318831152,40.39890796259822,0.017951743192603262,44.44001682417383,1.082727968783895,47.2244747915725,4.238535022319096,12.012121463380732,0.06874025754985504,0.205072749494416,2.387635904175612,1.2088350513357258,0.9353375930028889,5.0044781363264415,4.6322171664710785,0.027556121521546857,0.8214515346962409,0.18169064475947405,0.005611730185769453,0.7291882128139153,0.03127306309286022,0.05055709600896824,0.1713797461488982,0.011990151749588505,0.3,0.7,0.9,0.1,0.92,0.08
2350,-588.6636728653156,-1253.1649359063867,0.7568,0.72016,0.9247792706601663,0.5499665634260166,0.8093376064567961,0.5454964214126574,0.018300275338654845,0.05803680969997668,0.05796122541443002,20.184320618760655,0.37602516849029877,15.182547871394675,0.4016453583467496,6.349302426533001,0.010827057533670048,49.79597651025473,0.08705626983994716,0.01190242562354277,42.09904830782894,0.6275939382839367,0.07972905356635723,37.23269507502842,4.350172083940953,0.068116611026257,13.471154711907191,28.737611302736095,0.060746607873488276,0.6053819485666263,0.17010944520514415,0.019828293312191936,0.05633788157919583,0.08759582346335344,0.3,0.7,0.9,0.1,0.92,0.08
2351,-505.7734333722759,-836.1471182547725,0.7268000000000001,0.6828799999999998,0.9350899796323239,0.6527030351010495,0.23528499562291275,0.33507812531831305,0.03463621674960372,10.54751458017766,14.560367567759291,0.06459335610928202,0.7025526055496761,0.013577768770685231,0.013812077134527447,0.14447478056443722,0.47991612120485294,7.583807414370949,1.6514150411908142,0.029738837412725642,1.0896217918012396,0.02000543669511491,9.196594254907488,5.862823021427986,43.94180117689307,0.012368716811554797,12.300778408270427,0.02812644435700471,0.00828332508184911,0.6991558108660236,0.0661884735888321,0.02964965007047227,0.17489003941421924,0.021832700978603636,0.3,0.7,0.9,0.1,0.92,0.08
2352,-187.07104772021987,-377.80477962200246,0.8416000000000001,0.8035199999999999,0.9418510395532439,0.7731010715736498,0.1057317880846131,1.1961350677767306,3.0655211295298295,0.028156837128756256,0.19572829296789257,29.84008170594939,28.299527402070545,15.568673173764115,0.5924197388457261,27.00536114369442,18.094471809610084,19.977666390477527,43.9590644406118,0.11271959339304605,11.922818343661836,34.33333823875914,0.3209151312508832,0.023864611764176133,0.02553518181065548,7.917024291291403,13.065626087367692,0.11370671293425269,0.0012759195097920264,0.8432291486170249,0.03989301297588382,0.06287801690587845,0.03529579316275088,0.017428108828669825,0.3,0.7,0.9,0.1,0.92,0.08
2353,-331.2556155779534,-709.9218541248683,0.7404,0.7048400000000001,0.8936885337139343,0.5337532360616415,0.41676611324315443,0.23849538033528944,13.301438008747722,0.046853835991568386,0.589575343880367,8.672743552214355,1.5117144257942907,3.3865308436377295,27.44124290111246,0.010127169639998787,0.3064098377543006,8.140493134664327,0.023889602577725003,2.375982308244544,0.42119934125087183,0.25786637036545396,0.04744084626472075,13.531370925147145,2.9935022801627924,0.08677934436958666,0.14489076764462316,0.012472819416526457,0.059257835331670894,0.7767613312112196,0.04689730581273577,0.03491272752110907,0.07283842021866531,0.009332379904599307,0.3,0.7,0.9,0.1,0.92,0.08
2354,-231.10168925170518,-560.5209153185925,0.7828000000000002,0.7609600000000001,0.8812581440642485,0.5396471686416096,0.49693069344048896,0.4268568779154652,2.785685529567742,0.019804046521833943,0.25951853249212264,0.6827053499807171,4.817030702997472,2.29583522053115,10.236366327102749,0.6464002286463558,0.03692279539523297,25.61381118183657,0.05972568619973309,0.038947766427443326,0.31652288441125553,0.06291961260588726,47.62283978036599,6.475969229019011,3.589391556054295,3.748665458360932,24.516969973082425,6.89508409050802,0.005562221530576671,0.6650553111894544,0.020418004941788487,0.17719089682688144,0.03630677901103021,0.09546678650026885,0.3,0.7,0.9,0.1,0.92,0.08
2355,-107.15942823162506,-370.48020124509105,0.794,0.7435200000000003,0.8862847183835744,0.6932612759743185,1.1783548180216648,0.7547715764989353,47.66252652097857,42.63345810232319,2.1258031193009272,0.19296326168382108,2.994785235520824,0.4633167184941424,0.06427470425680139,0.06252071438049613,29.626731848065482,0.8195538123405349,0.029444256413529032,0.02814193717774424,0.23098799739329157,3.8233039141296663,1.5238634828056414,8.63853608768841,0.9505378913614555,0.3260700156575622,0.5508981470608518,2.202897220756259,0.06814960804518319,0.78667754117563,0.02942303784784835,0.05036826191897708,0.05109019475514098,0.01429135625722047,0.3,0.7,0.9,0.1,0.92,0.08
2356,-295.2231192680828,-794.9825244540991,0.6519999999999999,0.5995999999999999,0.8567782498143787,0.5184950354303353,0.9041823189451108,0.9676231774519907,0.6556597751678035,2.9924393965389697,0.3608003660008873,0.2843141376904926,0.07762487792418311,0.6219280546450912,0.034640597675130655,21.83817303368013,0.038892562043841256,0.1410887492929528,0.12469855440656949,2.9552215198524956,0.07638673755766406,0.03796041236423385,0.17954931744751867,0.022686908490779086,0.025544652463024366,0.1468205954239795,0.04644749921498372,0.02803592342816109,0.0131462939049693,0.6454728325153078,0.27141363839762034,0.044673035492638326,0.023815299859564536,0.0014788998298996426,0.3,0.7,0.9,0.1,0.92,0.08
2357,-147.82098275090044,-375.4375173701134,0.8056000000000002,0.77396,0.9112108228798766,0.6717677010329771,0.602736041478399,0.7213473522255569,0.058612699334716786,4.117346976211938,34.27964561513071,0.967065274202684,3.284806550185198,1.8352416525817266,2.349116736469493,3.0522065647507235,26.4392092746055,0.5404646615192985,0.35997418011398685,0.9237972087694921,4.047283509045558,6.989643308668548,0.21625296093481913,0.1454603437707239,0.026082572780448825,0.03619352789674552,0.25217604145359007,10.03003660982302,0.002463926610687935,0.9191159794488561,0.016886318453483224,0.038408510676003614,0.01758534984590215,0.005539914965066947,0.3,0.7,0.9,0.1,0.92,0.08
2358,-412.49571183840374,-365.81434169976194,0.8351999999999999,0.8053200000000001,0.9232433604549231,1.3900478968495296,0.2883613838173355,0.893058681050037,22.25989740337127,0.35422988938007843,15.385768918324098,1.4107970041741376,13.373364558820144,18.029283913089508,13.16073320700191,0.133171621706213,5.036715292270137,47.69171611212155,2.7832358056106594,0.012598912399080479,0.27091669569986176,10.529417471999393,21.34769684432677,0.21465003712319233,7.4704172990667645,0.14400299475472353,0.7243450176132997,0.1465686207058098,0.04300588755721565,0.8201775870291281,0.05501852524407886,0.022254721473097937,0.032447086407306994,0.027096192289172486,0.3,0.7,0.9,0.1,0.92,0.08
2359,-244.17868549318263,-598.5481911877154,0.7396000000000003,0.6886,0.9131841860753624,0.5793188501769766,1.291624993482422,0.10227969624214218,3.414934949578868,0.09469089861675971,0.09435435797560911,0.9117402870346284,0.014782373931777218,0.0472397516873206,0.8386947426213024,9.342300423967695,0.8118497305499799,21.790627999437202,26.831763229789292,1.4645071974636383,0.10548208804941132,0.06946305876206475,0.1222043697779413,1.180527857417061,32.58558735793559,1.664493228914052,0.04070169339463435,0.010697695198980789,0.013731849840406983,0.8253632136327054,0.09690411270402044,0.013604894249902903,0.03273325308040105,0.017662676492563173,0.3,0.7,0.9,0.1,0.92,0.08
2360,-269.4025246402674,-493.1815623823444,0.7776,0.76308,0.9436503916362275,0.7478471187807518,0.5393412269660833,0.7532986320474393,0.22226077870668084,2.9959537088702897,0.0511681350561462,1.5421946347728908,31.344317952842953,0.11338619942439103,0.10434188798536399,2.211618311141842,8.768924154088575,32.1798716190585,0.9666710566506919,0.038650954541755024,0.8999041569950259,0.027318745430415618,0.06926452433578321,20.3526209402199,0.01597207983369522,17.547458328751116,38.896617664021825,4.65981104306933,0.005216794772844765,0.8062321682450003,0.010373504830533136,0.01040097073581129,0.0662706789696082,0.10150588244620218,0.3,0.7,0.9,0.1,0.92,0.08
2361,-503.31701314613855,-608.7566031827812,0.7744,0.7452400000000001,0.8917347951371103,0.8779030655515327,0.28515529654625027,0.12116699047583834,0.04603549440104344,0.9132783623772885,29.926674801245255,0.017246698204469654,49.651210724771055,26.764671181287,6.2654120244366185,7.169706776789609,11.160012244081907,0.09179456065179277,0.20745282657186803,0.016275433745177936,4.42620583534574,6.701398317784432,0.5833315861004343,0.21644262244202145,2.573078981341691,9.557439926167943,0.2789827048460887,0.014708015607589364,0.0017499536798905376,0.6676530296869219,0.022904420720257855,0.15511731466522405,0.01154120543372221,0.14103407581398342,0.3,0.7,0.9,0.1,0.92,0.08
2362,-387.38992711785517,-913.8234267810781,0.7340000000000001,0.7000799999999999,0.8563010823474546,0.5185813864412764,0.8744383866977515,0.31879377958489924,0.7729733637221977,16.664254629692582,10.989539762573559,5.6099565913174185,1.1668748134501592,0.9810225320431032,1.9485174199285327,0.03407994113447771,37.64526333410031,5.801986065039095,0.028259950384057552,4.5364156403023586,0.020486592459238107,0.31122606294438965,0.7338739880575262,0.017469687022459754,0.09854554179121772,0.06159670358114885,0.0216941378544751,0.48411232010705835,0.08456604456768524,0.8321864317571186,0.03369066737828929,0.03142455231948465,0.016352708054392224,0.0017795959230300356,0.3,0.7,0.9,0.1,0.92,0.08
2363,-189.3374056204792,-698.5711818802617,0.7728000000000002,0.6973199999999999,0.8991289301767764,0.576038442109999,1.5643189157228083,1.3218591734886262,0.018949533980741184,0.33858660029347054,0.19092511984929142,0.3636914842404761,0.044892767674773244,0.12574494304805645,0.8248701595182812,3.046189816929813,0.03325319124696583,38.03308423110285,13.843202172145263,23.197038521066222,18.970301708646847,13.020922956657655,0.7569735781424755,2.0885601461850194,0.44291084338224573,19.25446957855801,0.04888038048158798,0.03459375185585178,0.0025971227549344803,0.5748224878819433,0.1536821752246961,0.11752827059524877,0.13038117901927027,0.0209887645239071,0.3,0.7,0.9,0.1,0.92,0.08
2364,-414.5787953997567,-892.5845605792102,0.7676000000000001,0.7047200000000001,0.8775147870503436,0.5068724004313001,0.22764941568139305,0.28909800007437136,2.014034010331362,33.48833311014421,0.02457961687785329,0.13787584173681205,0.22494812351501867,0.6547944102305576,0.08340331595698694,0.0656199750532147,0.012191325590121054,0.06360449152019222,0.02981725206816487,20.629685285949964,20.34814146738818,5.252608318820895,0.4019930657005321,5.87121287960365,43.66107447362464,0.2569947679375326,28.68412488517538,16.364619508634444,0.046096883244494895,0.6860895215845811,0.013340549710392897,0.1499859654855753,0.014462576994244,0.09002450298071175,0.3,0.7,0.9,0.1,0.92,0.08
